id,text
1,"The product arrived quickly and works exactly as expected."
2,"The app keeps crashing whenever I try to open my profile."
3,"The service was okay, but nothing special."
4,"I really liked the design and the build quality."
5,"The delivery was late and the box was damaged."
6,"The hotel room was clean, but the location was inconvenient."
7,"Customer support answered my question in less than five minutes."
8,"The food was cold and the portions were too small."
9,"The website is simple to use and easy to understand."
10,"The movie was average and I probably would not watch it again."
11,"The headphones sound great and feel comfortable."
12,"The installation process was confusing and frustrating."
13,"The restaurant was quiet, and the meal was acceptable."
14,"I am very happy with this purchase."
15,"The battery stopped working after two days."
16,"The course explained the basics clearly and helped me a lot."
17,"The package arrived on time, but the product looked different from the picture."
18,"The staff were friendly and made us feel welcome."
19,"The software update made the system slower."
20,"The book was informative, though some chapters were repetitive."
21,"This camera takes sharp photos even in low light."
22,"The chair is uncomfortable and feels cheaply made."
23,"The meeting was useful, but a little too long."
24,"The coffee tasted fresh and the service was excellent."
25,"The instructions were unclear, and I could not finish the setup."
26,"The room had everything I needed for a short stay."
27,"The phone is fast, reliable, and easy to use."
28,"The screen froze several times during the presentation."
29,"The event was organized reasonably well."
30,"The shoes fit perfectly and are very comfortable."
31,"The delivery driver left the package at the wrong address."
32,"The lesson covered the topic, but it did not go very deep."
33,"The interface looks modern and works smoothly."
34,"The table arrived with scratches on the surface."
35,"The train journey was normal and arrived close to schedule."
36,"The game is fun, creative, and worth the price."
37,"The printer often jams and wastes paper."
38,"The product description was accurate, but the color was slightly different."
39,"The doctor explained everything carefully and respectfully."
40,"The checkout process failed twice before my payment worked."
41,"The museum was interesting and the exhibits were well presented."
42,"The soup was too salty and the bread was stale."
43,"The lecture was neither bad nor especially impressive."
44,"The laptop runs quietly and handles my daily work very well."
45,"The order was missing two items."
46,"The gym has basic equipment and average facilities."
47,"The new update fixed the main problem I had."
48,"The jacket looks nice, but the material feels average."
49,"The taxi driver was rude and took a longer route."
50,"The store was clean, the staff were polite, and the prices were fair."
